id,commentText,Labels,Encoded
Ugy_CBm-_CKA3YqrzcB4AaABAg,Pudina ptta nhi dalu to,7,1
Ugy9mx9nuTWJu4dRac14AaABAg,Chiken kacha tu ni rhy ga sis,7,1
Ugz8T2MKLYucL3dM9nh4AaABAg,"Hello mam, I love your all recipes.... 😋😋😋
All the ingredients are easily available, and your way of explaining is too good.",4,0
Ugx_1cCjRbCaDgL0FLF4AaABAg,Its awesome recipe plzz make handi chicken in handi☺️,2,0
UgzLhKVAJ6NN3nZXyjN4AaABAg,Yeh jo measurement hai.........kitne logon ke liye hai????????????????????????,7,1
UgxW2SfrAhKsLgxbKfB4AaABAg,Kabita mam I tried ur egg biryani everyone in my house just loved it thank so much that was so delicious it was all because of ur recipe,5,1
UgyLvHNOg7qyDpTYkR94AaABAg,cooker me kar sakte he na,7,1
Ugw1us5PMRRmNfecx3x4AaABAg,Mujhe bhot ache lagi apki respi mene subscribe kardia bhot ache he,2,0
UgxlqdbI_3aogI5YVgZ4AaABAg,Mam...dahi k jgh p kuch or use kr skte h kya,7,1
UgwSiinYQITcZ0qtdZ14AaABAg,Wooooooo it's very yummmmmm I love it,5,1
UgyGrEoh0oodMP7VABl4AaABAg,This is a perfect biryani recipe. Apko follow kar k banaya acchi bani biryani.,2,0
UgzUDtAcYFKGpRbJEgd4AaABAg,"Hi Didi, I was always curious that How Biryani Made! Thank you so much for putting this detailed video. This Weekend I will try and serve it to family!
Really Motivatied!",6,1
UgyQbevvQp5I3NpTQI54AaABAg,"thanx.. respect from🇧🇩👍🌹
Madam appne tel nahy dala?",5,1
Ugxgc7xzTrcn4G0wKjh4AaABAg,I made this.... it taste awesome... thank you kabita ji...,5,1
Ugxxuo6trsmZb5emdZR4AaABAg,You're amazing 😍,4,0
UgwIIhGL2SknSOjkstd4AaABAg,nice video,3,0
Ugws68hmM-oUzNkPaz14AaABAg,Aur kya is recipe ko cokar me bana sakte heplease zarur reply kijiye ga,7,1
UgzZrbxsuoynB_Q34_Z4AaABAg,Aur mam isme aap chawal kitne k g use kiya he,7,1
Ugw7hwicDir-7ZEy4ip4AaABAg,Rice me oil dale to chalega,7,1
UgxOcRj1_391Zms4KnB4AaABAg,"Masha Allah.. so yummy ..
The main thing about u , I like in this video is ..the way u show all the steps one by one.. and the way u cook, it's really looking so beautiful ",4,0
Ugy7ms4oapaLlp-Bb9t4AaABAg,"Thank you my friend..to post your video to make  chicken biryani ....I like it...
thank u so much ...
love u  my friend.
I'm from Dubai:",1,0
UgxBzigKjmm_sbyTgiV4AaABAg,Curd ko skip Kar sakte h maa Sahi bariyani masala and chicken masala ensabko skip Kar sakte h maa,7,1
UgzVzR5J0Hcd8Z0wBZN4AaABAg,why u not show to how to make merinate the chicken.,7,1
UgwvwNivd502SJ6oYN94AaABAg,"Hi Kabita...
Agar briyani ki quantity jyada ho to BHI kya cooking timing same rahegi...",7,1
UgzkEExZWEGchzQTArV4AaABAg,U r awesome kabita ji,4,0
UgyAc2X07sTrqysGy4N4AaABAg,Chicken Marinette  me oil ya ghee ni dalenge to wo jis bartan me hum bna rahe h uske niche chipkegi  nahi kya pls bttaiye na.. Mujhe bnani h,7,1
UgwGSomVyu5DYviT3PF4AaABAg,I love your recipes,4,0
UgyR89xN2E_MX6QatdV4AaABAg,"Kabita didi, plz tell us, which brand basmati rice you are using..plz",7,1
Ugw4LVw5IHl5CB8l_IV4AaABAg,Measure of rice and water?,7,1
UgymnKmKQHlaprKmOYB4AaABAg,U r too sweet...even after getting so many views and comments you read everyone's comments and respond.them..such a gesture 💗,4,0
