id,commentText,Labels,Encoded
Ugz7LQV0ZWpuNnjBaxJ4AaABAg,i  love potato ke prathe,2,0
UgxvWJ_kJL2nePTkg2N4AaABAg,Wwaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaww,3,0
UgxxeUmiH9f8XOZZWr14AaABAg,Nice,3,0
Ugz-UPvwHMx4nSKVoCB4AaABAg,Wow Amazing,3,0
UgzfXhbesBABQzi4-m94AaABAg,Thank you madam,1,0
Ugy_z2dIVhsLV_55_Gd4AaABAg,nice,3,0
UgxaqLJOhaNOoxFtQvl4AaABAg,Nice,3,0
UgzWarQy187cKMdSg6F4AaABAg,Execllent women,4,0
Ugx2WzFYu7zTYpVICTB4AaABAg,soo kind..,4,0
Ugy9Kw-hUDyhUHTp-n94AaABAg,I canâ€™t believe she has 6.6 million subs from 2019,6,1
UgzdnoS7dMGulN938_p4AaABAg,Nice,3,0
UgxDbo0qlPNw2utYEKl4AaABAg,thanksðŸ˜Š,1,0
UgxKY-kAcoTF5YUECiF4AaABAg,Atta flour means wheat flour?,7,1
Ugw4e66RcQSthO3RdNN4AaABAg,"Paratha,Liked the kitchen design.",6,1
Ugy-deo0jRQmB4oLvR54AaABAg,Tasty aloo paratha,2,0
UgzMPwWt8iwCalCJEel4AaABAg,Thanks Aunty â¤ï¸,1,0
UgwyvBrq9B5TgScAfnt4AaABAg,Superb,3,0
Ugygf97lHQ4Gf2QCs1l4AaABAg,"Aunty aapne bahut hi acha aur bqhut simplicity ke saath explain kiya.. Aise hamare Desh me teachers ho jaye to phir kisi bacche ko tutions ki need ni ho..U are such a inspiration..
And paratha is also very good, healthy ..",4,0
UgxaGltVh_0xRip-7ph4AaABAg,Your instructions are really useful ma'am..,4,0
UgzGA3x-Nilg5kfEE8h4AaABAg,ur way of explaining is best aunty ji,4,0
UgyksaV2ELSG6e8K-ul4AaABAg,I love this word: thody se chotty thody se bady bana sakty hyn.,6,1
UgxTy_5_cpoSaJ1D-V54AaABAg,nisha aunty you are soooooooo humble and sweet.keep it upðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’žðŸ’•ðŸ’–ðŸ’ŸðŸ’—,4,0
UgwjgOUdBOrKtGB7PHt4AaABAg,Wao,3,0
UgwaAfc1Fkyt0aQingp4AaABAg,thanks,1,0
UgzuNZVU4BVrUdnSXap4AaABAg,Awesome,3,0
Ugzc0KO2xCxnHKOR_194AaABAg,app mera bhahi hote toh bariya hota roj kuch na kuch naya khane ko milta,6,1
UgwS-aLIcpwxTO5dKBZ4AaABAg,Nice,3,0
UgxXa0L4-ELMo_rH8eF4AaABAg,Hello Nisha anti mai new hun bht mazy k pharahty bane muje  se ap ki video dhek kr thank God muje reply kijy ga nd Maine kuch or bana hu Kia likhun,6,1
UgwO7TMloh6Rr5TbMAx4AaABAg,Beshk u r great .. Blessings frm pakistan ðŸ˜,4,0
UgwK8dD7Jatckqi7dtt4AaABAg,Madam aap thoda nail cut karo suggestion hai mera cooking karte time warna gloves wear karo,6,1
UgzJUGx4JLbmPGbrbFF4AaABAg,wowðŸ˜™,3,0
UgwtRzePK07OwCd-Rk14AaABAg,Love from Kerala,6,1
UgyQP_DqpubzSm8OPet4AaABAg,bhot Asha aalo vala prantha,2,0
UgzOOnQsM8F0XhIn0ht4AaABAg,Vedio bohot accha laga mam..........,3,0
UgzIk24DmjUvmhfjICV4AaABAg,Nice recipe & easy to cook....ðŸ‘ŒðŸ‘Œ,2,0
UgzB2uh6BMK_DEa71rp4AaABAg,Yummy yummy super yummy ðŸ–’ðŸ–’ðŸ–’aaloo prathe ðŸ’–,2,0
Ugw9R3QGVp5StGUk4j94AaABAg,mam mere potatoes ko mne boil krke cooker mein chod diye the 1hour after mne potatoes ko cheel ke masala banaya to masala kafi loose ho gya uske baad mne unhe choka bhi laga diya phir bhi parathe nhi bn rhe h pls bataye kya kre,7,1
UgxrTdLbwfPhPvVcGM94AaABAg,yummy,2,0
UgxOT3N829C9sHuMjcN4AaABAg,she is still young due to her cooking.,4,0
Ugx1sdcp0f2Y4kiON2R4AaABAg,Very nice madam ji,3,0
UgyFlq8cRbAndsISPat4AaABAg,"Mam u are highly talented and ,ur cooking skills are extraordinaryðŸ‘ðŸ‘ðŸ‘ŒðŸ‘Œ",4,0
UgyytaNYCrpaOT_jUyF4AaABAg,Good aunty,3,0
UgzCFUhDDzzOVIMT87R4AaABAg,Your voice is nice,4,0
UgzQEelo6oTL2Q9HlPd4AaABAg,nice,3,0
UgxqIgR7OTax2t4X5KR4AaABAg,You explain very clearly and sweetly ma'am...Thank you,4,0
UgwCG8hJuM1pj1yQ3fZ4AaABAg,Mam jab paratha belte hai tao sara masala corner pe aa jata h center me kuch nhi rahta,6,1
UgzO07TK_9b7ST1b3RV4AaABAg,Also paratha receipe nice very niceðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ,2,0
Ugw7tGFLHx0CIvMmLWp4AaABAg,Nisha mam i tried it n it was too good...i make parathas dis way for my kids once in a week n dey enjoy it.u showed a very awesome recipe.....God bless u n ur loved ones :-),5,1
Ugx__OWrYJcf_9jk_0t4AaABAg,"Thanks mam 
It's very easy and yummy",5,1
Ugy1YJkxLz365GWZ33t4AaABAg,Wow wow wow mouth watering,2,0
UgyJM2U3Rg6FVAhtKnF4AaABAg,My mom is not here so I wanted to make aloo ka paratha and this vid helped me thanks,1,0
UgxqlgWH3gwsxFHpOCN4AaABAg,Madam oil ka place ghee use kar sakthe he kya,7,1
